review_id	product_id	product_category	star_rating	helpful_votes	total_votes
RQ0ADUDW2U57V	0812550706	Books	5	0	0
RC51G5RLCYZK4	0671876813	Books	5	0	0
R3K7F2LR179XF8	0812550706	Books	5	0	0
R3DG1QOCJ4Q36O	0385311400	Books	5	0	0
R3AV5V3WV78SI4	0802130208	Books	5	0	0
R1RDEDHYCAYXKJ	0679745203	Books	5	0	1
R3W0DLAW6IDYJO	0893860220	Books	5	6	6
R3LGL4OOQ21PN	0440178002	Books	4	1	1
R1TWJHM5IHB7B4	094113086X	Books	5	1	1
R2LZ2HEE4R9W6R	0345315227	Books	4	0	0
R3BWGEJZY78Z8Q	0694516929	Books	2	2	8
R3B6AXOX67A075	0870119435	Books	5	2	2
R5JA85WK23TZ	1563523302	Books	5	2	2
R1GZS5AH1T7PTR	0316920045	Books	2	4	5
R3PX1VBQC15MPQ	0312853238	Books	5	1	1
R3K5XIB18DBUZY	1563523302	Books	4	0	1
R3671KZP3ZLO3M	0312955006	Books	5	1	1
R2L44OE96E0DBE	0393039765	Books	5	1	2
RJEZ0ULMFE1LO	0671004611	Books	5	3	4
R3P1NGK3ACN24H	0399142851	Books	4	0	0
R3BXCNUMP1AX1Y	0399142851	Books	3	0	0
R4MDOHXV5SO9R	0679442790	Books	5	0	0
R3F2Q3V5NZCUHV	0671891634	Books	1	10	18
RB6783LVS2YC0	1563523302	Books	5	0	0
R2F55X17YUFMF7	0887307396	Books	5	0	0
R9YCT1HQ6AA6W	0553573403	Books	5	0	0
R1S8PP9IJFEEM9	0679457313	Books	2	6	7
R36OHMCSK04R79	0385486804	Books	2	16	19
R3LESKVN8I75A6	0553573403	Books	5	0	0
R11BNN5PFRMUWL	0151001820	Books	4	0	0
RZ6RXINDDP8J8	0553573403	Books	5	0	0
RATXV4SF1C6JY	1568491581	Books	5	0	1
R3VVO2AAIE7LIZ	0316921173	Books	5	0	0
R1L3BZ1BQBBZ9T	0140131558	Books	5	0	1
R2WBQMPNZYWR95	0446310786	Books	5	1	1
R3624M7P747ICC	0517591812	Books	2	7	7
R3N135X3RX14E9	0140143505	Books	5	3	3
RPSL3VKKQ5N07	1568493207	Books	5	0	0
R35QSPNHL4EC90	0399128964	Books	5	0	0
RQH0ENFYPRQQU	1558216847	Books	1	28	32
R2XVXD4JFRLBF2	031218087X	Books	5	0	2
RDGXEL389XE9R	031218087X	Books	5	0	1
R2FGECCSV01JC1	0394720288	Books	5	5	5
R1BSHP3THTLXTA	0671867369	Books	5	0	0
R375LLCQE61GCO	031218087X	Books	3	1	1
R11ECXZQ68I5M8	0425107469	Books	5	0	0
R1NJDOEAI6WXPX	031286504X	Books	5	3	4
R2SVPVTMLDY9LX	031218087X	Books	5	24	34
R7FKCEJDHBRIJ	0553213105	Books	5	13	14
R3M0154ODINNTO	0679405631	Books	5	5	5
R1ESHVQXZ5IH9H	0140131558	Books	5	0	1
RALF1434EVO2N	044651506X	Books	5	0	0
R21YBMMKF8CU4L	031218087X	Books	4	0	1
ROKAWIXC1PWGW	0425132153	Books	5	0	0
R13J2Q0MRQH06G	031218087X	Books	4	0	1
RD5PRXPACETCE	031218087X	Books	4	0	1
R3V8JFWJ6GDV0P	0465068359	Books	5	5	8
RVHMDU47DDMBI	0060168366	Books	5	5	8
