B000002UAX	65	4.85
B000002UB3	65	4.85
B000002NHN	92	4.83
B00000099Y	85	4.81
B00000DHR0	57	4.81
0399128964	57	4.79
B000002UJQ	139	4.78
0451169514	83	4.78
B000002J09	52	4.77
0553573403	117	4.74
0380002930	74	4.73
0312853238	51	4.73
B000002ADT	51	4.73
0871137380	66	4.71
0446310786	74	4.70
0517122707	50	4.70
1573225517	66	4.64
0812550706	151	4.63
0345350499	90	4.63
B000005J56	59	4.61
0684874350	224	4.54
B00000FCBC	109	4.54
B00000AFGM	54	4.54
B00000IQMT	119	4.53
B00000J7J4	94	4.52
B000002UAU	54	4.50
068484267X	51	4.49
B00000IPAX	84	4.48
0802130208	52	4.48
B00000IOSU	123	4.47
B00000DHTF	76	4.47
B00000IL1K	75	4.47
0553108034	68	4.46
B000003TA4	63	4.46
B000002C1X	61	4.44
B00000J7S8	59	4.44
0385484518	191	4.43
B00000AFFF	61	4.43
B0000057C5	56	4.43
0684833395	54	4.43
B000002U82	82	4.39
B00000ADG2	161	4.37
B00000J7JO	81	4.36
0451191153	71	4.35
B000002NJS	138	4.32
B000006OAM	76	4.32
0671004107	62	4.32
B00000F1D3	113	4.30
B000002MY3	54	4.24
B000002H97	75	4.20
B00005N6KG	85	4.19
B000006NPY	101	4.16
0670880728	173	4.13
0385486804	88	4.10
B000002C4J	58	4.10
B000001Y42	53	4.08
0679745203	50	4.08
B00000AFWW	87	4.05
0380973464	58	4.00
0679457313	75	3.97
B00000JCB2	156	3.96
B00000DFRS	61	3.95
B00000DHRZ	140	3.91
1563523302	71	3.90
0440224764	85	3.88
0684867621	123	3.79
0060977493	87	3.76
B00000DGUG	208	3.75
0671015206	54	3.74
1573226521	81	3.73
0385472951	88	3.67
0375707972	169	3.48
0385493800	195	3.46
B000002HMH	56	3.34
B00000J7RZ	84	3.13
B000002HRE	72	3.12
0399142851	53	2.89
0399143904	330	2.82
product_id	count	avg_star_rating
